state,year,cigsale,lnincome,beer,age15to24,retprice
Missouri,1974,135.4,9.739015,,0.1742593,38
Ohio,1974,122.1,9.811853,,0.1785011,42.9
Nebraska,1974,110.5,9.766387,,0.1796564,42
South Carolina,1974,129.7,9.558746,,0.2010309,35.2
Louisiana,1974,129.9,9.57982,,0.1915676,41.6
Georgia,1974,123.7,9.659981,,0.1891285,42.4
North Carolina,1974,227.3,9.621204,,0.1940617,30.1
Mississippi,1974,117.1,9.436393,,0.1881011,41.4
Utah,1974,75.6,9.612169,,0.2020131,37.8
Virginia,1974,149.6,9.772517,,0.1912292,31.3
North Dakota,1974,110.5,9.864307,,0.1921497,39.9
Connecticut,1974,112.4,9.988535,,0.1698293,52.5
Vermont,1974,151.8,9.661792,,0.1861431,41.3
Colorado,1974,132.8,9.840451,,0.1937397,38.1
Iowa,1974,116.1,9.788277,,0.1768073,43.2
Alabama,1974,108.2,9.537163,,0.183126,43.1
Montana,1974,121.9,9.740038,,0.1812061,41.8
Wisconsin,1974,111.8,9.782349,,0.1825152,43.9
Utah,1975,75.8,9.601021,,0.201997,40.5
Colorado,1975,131,9.828461,,0.1944371,41.7
Kentucky,1975,223,9.579324,,0.1862574,33.3
Vermont,1975,155.5,9.637124,,0.187735,41.8
Connecticut,1975,110.2,9.960749,,0.1715545,54.5
Alabama,1975,111.7,9.540031,,0.1841921,46.6
South Carolina,1975,130.5,9.527854,,0.2012114,38.1
West Virginia,1975,123.2,9.585304,,0.1752702,45.2
New Hampshire,1975,269.1,9.718851,,0.1787426,40.8
Missouri,1975,135.6,9.73081,,0.1759259,43.5
Oklahoma,1975,132.9,9.682616,,0.1807874,43.6
Montana,1975,123.7,9.724647,,0.1825595,43.7
Ohio,1975,122.5,9.78323,,0.1798214,46
Maine,1975,140.7,9.60089,,0.1756181,46.7
California,1975,127.1,9.937167,,0.1838485,45
Pennsylvania,1975,114.6,9.804516,,0.1719189,49.8
Mississippi,1975,116.8,9.413603,,0.1893438,43
Arkansas,1975,114.8,9.514094,,0.1737422,48.6
New Mexico,1975,103.1,9.596889,,0.1910473,46.3
Wyoming,1975,160.7,9.848104,,0.1873494,38.6
Texas,1975,116,9.734613,,0.1889774,50.6
Delaware,1975,147.6,9.887531,,0.1860054,45.9
Tennessee,1975,117.4,9.584546,,0.1819211,45.3
Wisconsin,1975,113.5,9.766184,,0.1845723,46.6
Iowa,1975,120.5,9.800288,,0.1787968,45.4
Illinois,1975,131.8,9.93419,,0.1771212,45.2
Nebraska,1975,114.1,9.797554,,0.1811362,44.6
North Dakota,1975,117.9,9.806704,,0.1940707,42.6
South Dakota,1975,113.5,9.694462,,0.1877474,42.8
Indiana,1975,162.4,9.743661,,0.1837953,36.7
Idaho,1975,123.3,9.692201,,0.1679798,40.3
Rhode Island,1975,154.7,9.757126,,0.1866159,44.3
Nevada,1975,205.2,9.915459,,0.1726521,44.5
Kansas,1975,123.4,9.800612,,0.1856515,42.7
Georgia,1975,122.9,9.629609,,0.1895492,44.5
North Carolina,1975,226,9.590678,,0.19419,32.9
Virginia,1975,152.7,9.761777,,0.1916811,33.6
Louisiana,1975,133.6,9.585208,,0.1931632,44.3
Minnesota,1975,111.5,9.801632,,0.1847615,49.4
Idaho,1976,125.1,9.731101,,0.1659516,42.5
West Virginia,1976,129.7,9.626164,,0.1758059,48.4
Iowa,1976,124.4,9.803332,,0.1807862,47.8
Ohio,1976,124.6,9.831858,,0.1811418,48.5
Missouri,1976,139.5,9.769454,,0.1775924,44.7
Wisconsin,1976,115.4,9.807609,,0.1866294,51.3
California,1976,128,9.976858,,0.1849865,48.3
Oklahoma,1976,138.6,9.71226,,0.1818531,46.4
Nevada,1976,201.4,9.955231,,0.1748717,44.9
Texas,1976,121.4,9.780997,,0.1901446,53.3
Georgia,1976,125.9,9.67143,,0.18997,47.9
Wyoming,1976,161.5,9.871498,,0.1898795,42.6
Delaware,1976,153,9.920685,,0.188535,50.1
Colorado,1976,134.2,9.858913,,0.1951344,44.8
Nebraska,1976,118.1,9.787974,,0.182616,46.8
Connecticut,1976,113.4,9.993227,,0.1732796,57.6
Maine,1976,144.9,9.671687,,0.176939,49.9
South Carolina,1976,136.8,9.574728,,0.2013919,41
Minnesota,1976,116.7,9.82493,,0.1867689,52.1
South Dakota,1976,116.7,9.623668,,0.1895612,45
Utah,1976,77.9,9.64516,,0.2019809,43.4
Arkansas,1976,119.1,9.558153,,0.1746893,50.9
North Carolina,1976,230.2,9.637136,,0.1943184,35.8
Alabama,1976,116.2,9.591908,,0.1852581,50.4
New Hampshire,1976,290.5,9.777043,,0.1803448,43.9
Montana,1976,124.9,9.730799,,0.1839129,45.3
Kansas,1976,127.7,9.830626,,0.1866769,46.6
Illinois,1976,134.4,9.965498,,0.1791521,48.4
Kentucky,1976,230.9,9.624857,,0.1872468,36
North Dakota,1976,125.4,9.72551,,0.1959916,45.9
Vermont,1976,171.1,9.680714,,0.1893269,47.1
Louisiana,1976,139.6,9.644329,,0.1947588,48.1
Indiana,1976,166.6,9.798755,,0.1852512,38.7
New Mexico,1976,102.4,9.632618,,0.1922853,49.5
Rhode Island,1976,150.2,9.795517,,0.1873075,52.2
Tennessee,1976,121.7,9.63203,,0.1826965,48.3
Pennsylvania,1976,118.8,9.84331,,0.1736275,52.3
Virginia,1976,158.1,9.799573,,0.192133,37.9
Mississippi,1976,120.9,9.477991,,0.1905865,46.4
Arkansas,1977,122.6,9.590923,,0.1756364,52.6
Missouri,1977,140.8,9.808042,,0.179259,45.9
Oklahoma,1977,140.4,9.740367,,0.1829187,47.9
Colorado,1977,132,9.888447,,0.1958318,44.7
Indiana,1977,173,9.833315,,0.186707,40.6
Illinois,1977,134,9.996949,,0.181183,49.4
Vermont,1977,169.4,9.687761,,0.1909189,47
West Virginia,1977,133.9,9.658364,,0.1763416,48.9
Alabama,1977,117.1,9.617496,,0.1863242,50.1
Delaware,1977,153.3,9.933779,,0.1910645,51.7
North Carolina,1977,217,9.656975,,0.1944467,36.6
New Mexico,1977,102.4,9.669968,,0.1935232,51.6
Ohio,1977,127.3,9.872402,,0.1824622,49.8
Nebraska,1977,117.7,9.801126,,0.1840957,48.1
Kansas,1977,127.9,9.848077,,0.1877022,48.1
California,1977,126.4,10.0027,,0.1861245,49
Montana,1977,127,9.732777,,0.1852663,47.6
Wyoming,1977,160.4,9.923921,,0.1924096,43.4
Mississippi,1977,122.1,9.516372,,0.1918292,48.8
Nevada,1977,190.8,10.0006,,0.1770913,49.3
Connecticut,1977,117.3,10.02807,,0.1750048,58.4
Minnesota,1977,117.2,9.875978,,0.1887764,53.1
Maine,1977,145.6,9.678421,,0.1782598,50.9
Rhode Island,1977,148.8,9.819708,,0.1879991,52.3
South Carolina,1977,137.2,9.589702,,0.2015724,42.2
Texas,1977,124.2,9.812738,,0.1913118,53.3
Virginia,1977,157.7,9.828063,,0.1925849,38.4
Utah,1977,78,9.673471,,0.2019648,44.7
Louisiana,1977,140,9.679078,,0.1963544,48.9
Iowa,1977,125.5,9.83932,,0.1827757,49.4
Tennessee,1977,124.6,9.655991,,0.1834719,49.6
New Hampshire,1977,278.8,9.806763,,0.181947,45
Idaho,1977,125,9.726507,,0.1639235,45.6
Georgia,1977,127.9,9.693337,,0.1903907,49.5
Kentucky,1977,229.4,9.672666,,0.1882363,36.9
Pennsylvania,1977,120.1,9.87337,,0.1753361,53.3
South Dakota,1977,115.6,9.678478,,0.1913749,46.4
Wisconsin,1977,117.2,9.852298,,0.1886864,52.1
North Dakota,1977,122.2,9.693218,,0.1979125,47.4
Tennessee,1978,127.3,9.700672,,0.1842474,54.8
Nevada,1978,187,10.06987,,0.1793108,54.3
Arkansas,1978,127.3,9.657238,,0.1765835,56.5
California,1978,126.1,10.04556,,0.1872625,58.7
Missouri,1978,141.8,9.844764,,0.1809256,49.9
Nebraska,1978,117.4,9.879457,,0.1855755,53.6
Connecticut,1978,117.5,10.0632,,0.1767299,61.7
New Mexico,1978,103.1,9.717297,,0.1947612,56
Ohio,1978,131.3,9.89935,,0.1837826,53.9
Pennsylvania,1978,122.3,9.902813,,0.1770447,57.4
Utah,1978,79.6,9.70817,,0.2019487,49.5
Georgia,1978,130.6,9.736651,,0.1908115,54.7
Alabama,1978,123,9.654072,,0.1873902,55.1
Vermont,1978,162.4,9.746978,,0.1925108,52.5
North Carolina,1978,205.5,9.69771,,0.194575,41.8
New Hampshire,1978,269.6,9.853168,,0.1835492,49.7
Oklahoma,1978,143.6,9.782526,,0.1839844,53.1
Colorado,1978,129.2,9.933751,,0.1965291,57.4
West Virginia,1978,131.6,9.687846,,0.1768773,53.9
Rhode Island,1978,146.8,9.842971,,0.1886907,56.3
Virginia,1978,155.9,9.868163,,0.1930367,42.8
South Carolina,1978,140.4,9.626875,,0.201753,49.2
Montana,1978,127.2,9.814651,,0.1866197,51.9
North Dakota,1978,121.9,9.859668,,0.1998335,53.2
Maine,1978,143.9,9.698808,,0.1795806,55
Kansas,1978,127.1,9.875605,,0.1887276,52.6
Idaho,1978,122.8,9.768933,,0.1618953,51.5
Indiana,1978,150.9,9.865232,,0.1881629,50
Wisconsin,1978,116.7,9.88982,,0.1907435,57.1
Illinois,1978,136.7,10.0236,,0.1832139,54.6
Mississippi,1978,124.9,9.540335,,0.1930719,53.6
Iowa,1978,127.1,9.914184,,0.1847651,54.6
Kentucky,1978,224.7,9.703743,,0.1892257,41.4
Delaware,1978,155.5,9.944127,,0.1935941,58.7
Minnesota,1978,118.9,9.913442,,0.1907839,57.9
Louisiana,1978,142.7,9.731681,,0.19795,54.2
Texas,1978,126.6,9.863807,,0.192479,59.1
South Dakota,1978,116.9,9.756708,,0.1931887,53.2
Wyoming,1978,160.3,10.00353,,0.1949398,49.8
Tennessee,1979,127.2,9.690542,,0.1850229,57.3
Wyoming,1979,168.6,10.01674,,0.1974699,51.7
Pennsylvania,1979,122.6,9.899785,,0.1787533,60.6
Arkansas,1979,126.5,9.633533,,0.1775306,58.4
Missouri,1979,140.2,9.847526,,0.1825921,52.2
New Hampshire,1979,254.6,9.865933,,0.1851513,53.2
Idaho,1979,117.5,9.737336,,0.1598672,55.4
Kansas,1979,126.4,9.903797,,0.189753,54.8
Illinois,1979,135.3,10.01367,,0.1852448,56.8
Mississippi,1979,123.9,9.55297,,0.1943146,56.5
Virginia,1979,151.8,9.870887,,0.1934886,45.8
Delaware,1979,150.2,9.926104,,0.1961236,60
West Virginia,1979,122.1,9.683867,,0.177413,62.4
North Dakota,1979,121.3,9.782693,,0.2017544,55
Louisiana,1979,140.1,9.737775,,0.1995456,57.1
Indiana,1979,148.9,9.851489,,0.1896188,52.5
Alabama,1979,121.4,9.64918,,0.1884563,56.8
South Dakota,1979,117.4,9.752883,,0.1950025,54.1
Texas,1979,126.4,9.877561,,0.1936462,62.2
Ohio,1979,130.9,9.89159,,0.185103,56.3
New Mexico,1979,101,9.699997,,0.1959992,57.6
Nevada,1979,183.3,10.05607,,0.1815304,57.1
Connecticut,1979,117.4,10.07551,,0.178455,64.4
Minnesota,1979,118.3,9.909161,,0.1927914,60.9
Kentucky,1979,214.9,9.70251,,0.1902151,43.4
North Carolina,1979,197.3,9.681352,,0.1947034,43.7
Utah,1979,79.1,9.694103,,0.2019326,53.7
California,1979,121.9,10.05469,,0.1884006,60.1
Georgia,1979,131,9.729302,,0.1912322,56.6
Nebraska,1979,116.1,9.847173,,0.1870553,55.4
Oklahoma,1979,141.6,9.809667,,0.18505,55.5
Montana,1979,120.3,9.778626,,0.1879731,53.7
Vermont,1979,160.9,9.747611,,0.1941028,54.8
Iowa,1979,124.2,9.881053,,0.1867546,56.4
Rhode Island,1979,145.8,9.843946,,0.1893823,58.7
Wisconsin,1979,117.1,9.892312,,0.1928006,58.7
Colorado,1979,131.5,9.94222,,0.1972265,52.8
Maine,1979,138.5,9.694194,,0.1809014,54.5
South Carolina,1979,135.7,9.623209,,0.2019335,50.2
North Carolina,1980,187.8,9.6566,,0.1948317,47.3
Maine,1980,141.2,9.683053,,0.1822222,59
Idaho,1980,115.2,9.711496,,0.157839,56.4
Utah,1980,74.8,9.654541,,0.2019165,57.2
Connecticut,1980,118,10.07476,,0.1801802,67
Rhode Island,1980,149.3,9.835399,,0.1900739,60
West Virginia,1980,122.3,9.652032,,0.1779487,64.3
New Hampshire,1980,247.8,9.860694,,0.1867535,55.3
Virginia,1980,148.9,9.866592,,0.1939405,48.5
Minnesota,1980,117.7,9.877483,,0.1947988,63
California,1980,120.2,10.03784,,0.1895386,62.1
Vermont,1980,161.6,9.722965,,0.1956947,58.9
Colorado,1980,131,9.943612,,0.1979239,54.6
Delaware,1980,150.5,9.913744,,0.1986532,62.7
Missouri,1980,142.1,9.801047,,0.1842587,57.3
South Dakota,1980,114.7,9.616186,,0.1968162,58.8
Kansas,1980,127.1,9.862444,,0.1907783,58.3
Nebraska,1980,116.3,9.772381,,0.188535,59.5
Texas,1980,129.7,9.86858,,0.1948134,63.7
Arkansas,1980,131.8,9.573803,,0.1784777,61.5
Montana,1980,122,9.743379,,0.1893266,56.7
Illinois,1980,135.2,9.962173,,0.1872758,60
Wisconsin,1980,117.6,9.855584,,0.1948576,61.2
North Dakota,1980,123.7,9.610509,,0.2036753,59.6
Oklahoma,1980,141.6,9.811438,,0.1861157,62.9
Ohio,1980,133.5,9.850911,,0.1864234,58.7
New Mexico,1980,102.7,9.677752,,0.1972371,62.6
South Carolina,1980,138.3,9.601186,,0.202114,52.3
Mississippi,1980,127,9.503543,,0.1955573,59.7
Georgia,1980,134,9.701445,,0.1916529,59.3
Alabama,1980,123.2,9.612194,,0.1895223,60.6
Kentucky,1980,215.3,9.661359,,0.1912046,46.3
Tennessee,1980,130.4,9.657698,,0.1857983,60.3
Wyoming,1980,158.1,10.01396,,0.2,55.3
Iowa,1980,124.6,9.810102,,0.188744,58.8
Pennsylvania,1980,124,9.869998,,0.1804619,61.3
Nevada,1980,177.7,10.03425,,0.18375,63.1
Louisiana,1980,143.8,9.739491,,0.2011412,60
Indiana,1980,146.9,9.795776,,0.1910747,53.7
Arkansas,1981,128.7,9.593041,,0.1750111,64.7
Georgia,1981,131.7,9.704944,,0.1879757,62.6
Alabama,1981,119.6,9.609594,,0.1858422,68.8
South Dakota,1981,115.7,9.665717,,0.1910096,62.3
Mississippi,1981,125.3,9.512449,,0.1920408,63
Nevada,1981,171.9,10.00596,,0.1785419,63.3
Utah,1981,77.6,9.640061,,0.198395,62.7
Montana,1981,121.1,9.757294,,0.1833387,60.4
Idaho,1981,114.1,9.684898,,0.1563834,59.2
New Mexico,1981,103,9.680828,,0.1915056,63
Delaware,1981,152.6,9.901393,,0.193546,66
Louisiana,1981,144,9.765061,,0.1963432,62.6
Kentucky,1981,209.7,9.665572,,0.1872535,49.4
Indiana,1981,148.5,9.78815,,0.1870784,58.3
Colorado,1981,133.8,9.957273,,0.1918687,58.1
Oklahoma,1981,143.7,9.84499,,0.1817683,65.8
Rhode Island,1981,151.2,9.836284,,0.1864105,64.5
Maine,1981,138.9,9.679446,,0.1780966,62.9
North Dakota,1981,125.7,9.761848,,0.1979569,62
Illinois,1981,133,9.965017,,0.1830271,63.1
West Virginia,1981,120.5,9.629269,,0.1746692,66.2
Nebraska,1981,117,9.81427,,0.1835479,60.9
Tennessee,1981,129.1,9.655215,,0.1821052,63.7
New Hampshire,1981,245.4,9.867043,,0.1823748,58.4
Wyoming,1981,163.1,9.99972,,0.1935518,55.9
South Carolina,1981,136.1,9.600561,,0.197689,54.7
Virginia,1981,149.9,9.86719,,0.1898061,51.8
Ohio,1981,132.8,9.835517,,0.1822796,61.4
Iowa,1981,132.9,9.838684,,0.1840352,61.4
Pennsylvania,1981,125.2,9.866444,,0.1764556,64.8
California,1981,118.6,10.02863,,0.1855371,66.4
Minnesota,1981,120.8,9.867996,,0.1892152,65.8
North Carolina,1981,179.3,9.661784,,0.1909665,50
Texas,1981,129,9.898189,,0.1905501,66.9
Missouri,1981,140.5,9.810367,,0.1798325,59.9
Connecticut,1981,116.4,10.07957,,0.1760501,80.1
Kansas,1981,132,9.877179,,0.1857294,59.8
Wisconsin,1981,119.9,9.834293,,0.1897798,64.9
Vermont,1981,163.8,9.72744,,0.1911066,61
Minnesota,1982,119.4,9.863186,,0.1836315,71.7
North Dakota,1982,126.8,9.764914,,0.1922384,67.8
Kansas,1982,130.9,9.881304,,0.1806805,65.1
Nebraska,1982,117.1,9.799478,,0.1785609,69.7
Tennessee,1982,131.4,9.642689,,0.1784122,68.3
Oklahoma,1982,147,9.85314,,0.1774208,71.7
Missouri,1982,139.7,9.802688,,0.1754063,64.7
South Dakota,1982,113,9.649113,,0.185203,68
Indiana,1982,147.7,9.757754,,0.1830822,65.1
California,1982,115.4,10.01253,,0.1815355,72.8
Idaho,1982,111.5,9.645257,,0.1549278,67.6
South Carolina,1982,136,9.58379,,0.193264,61.9
North Carolina,1982,179,9.649224,,0.1871014,55.5
Pennsylvania,1982,123.3,9.862766,,0.1724493,69.8
Georgia,1982,131.2,9.707344,,0.1842985,67.8
Nevada,1982,165.1,9.956868,,0.1733339,71.6
Texas,1982,131.2,9.887209,,0.1862867,73.8
New Mexico,1982,97.5,9.678599,,0.1857741,69.4
Maine,1982,139.5,9.683565,,0.1739709,69.7
Alabama,1982,119.1,9.59758,,0.1821621,73.1
West Virginia,1982,119.8,9.626738,,0.1713896,75.1
Utah,1982,73.6,9.628076,,0.1948735,68.1
New Hampshire,1982,239.8,9.876245,,0.1779961,67
Connecticut,1982,114.7,10.09016,,0.1719199,85.6
Virginia,1982,147.4,9.870553,,0.1856717,56.4
Colorado,1982,130.5,9.962617,,0.1858136,61.4
Arkansas,1982,127.4,9.5737,,0.1715445,72.1
Wisconsin,1982,115.6,9.821299,,0.184702,75
Kentucky,1982,210.6,9.65426,,0.1833023,56.3
Rhode Island,1982,146.3,9.842975,,0.182747,71.6
Illinois,1982,130.7,9.944979,,0.1787785,69.6
Wyoming,1982,157.7,9.945314,,0.1871035,64.3
Ohio,1982,134,9.815445,,0.1781359,68.3
Delaware,1982,154.1,9.904337,,0.1884388,74.1
Vermont,1982,162.3,9.723439,,0.1865185,66.8
Montana,1982,122.4,9.73567,,0.1773509,65.7
Mississippi,1982,125.8,9.498247,,0.1885242,69.2
Louisiana,1982,143.9,9.753126,,0.1915451,70.3
Iowa,1982,116.2,9.795305,,0.1793265,72.8
Texas,1983,126.4,9.880212,,0.1820234,84.1
Ohio,1983,130,9.836498,,0.1739921,82.5
Illinois,1983,127.9,9.954803,,0.1745298,80.8
Nevada,1983,159.2,9.963725,,0.1681258,81.9
Louisiana,1983,133.7,9.746861,,0.186747,80.7
West Virginia,1983,115.7,9.612957,,0.1681101,88.2
Tennessee,1983,129,9.672341,,0.1747191,79.1
Wisconsin,1983,106.3,9.83835,,0.1796242,92
South Carolina,1983,131.1,9.625991,,0.1888389,72.4
