,year,month,hom,suic,fhom,fsuic,time,Sign,Effective,stdpop,stdpop2,case
108,2007,12,112,211,72,98,108,1,1,18367800,18367800,1
109,2008,1,95,241,73,125,109,1,1,18527300,18527300,1
110,2008,2,119,218,80,118,110,1,1,18527300,18527300,1
111,2008,3,101,218,65,111,111,1,1,18527300,18527300,1
112,2008,4,105,212,68,114,112,1,1,18527300,18527300,1
113,2008,5,127,266,94,129,113,1,1,18527300,18527300,1
114,2008,6,108,251,80,114,114,1,1,18527300,18527300,1
115,2008,7,119,232,76,113,115,1,1,18527300,18527300,1
116,2008,8,93,194,59,103,116,1,1,18527300,18527300,1
117,2008,9,109,242,73,127,117,1,1,18527300,18527300,1
118,2008,10,113,241,86,123,118,1,1,18527300,18527300,1
119,2008,11,96,193,60,90,119,1,1,18527300,18527300,1
120,2008,12,115,232,72,130,120,1,1,18527300,18527300,1
121,2009,1,91,240,63,123,121,1,1,18652600,18652600,1
122,2009,2,74,215,49,118,122,1,1,18652600,18652600,1
123,2009,3,107,232,74,121,123,1,1,18652600,18652600,1
124,2009,4,91,256,56,116,124,1,1,18652600,18652600,1
125,2009,5,87,261,65,135,125,1,1,18652600,18652600,1
126,2009,6,94,254,68,135,126,1,1,18652600,18652600,1
127,2009,7,102,244,76,140,127,1,1,18652600,18652600,1
128,2009,8,108,256,80,125,128,1,1,18652600,18652600,1
129,2009,9,97,260,62,130,129,1,1,18652600,18652600,1
130,2009,10,89,220,58,110,130,1,1,18652600,18652600,1
131,2009,11,112,201,87,110,131,1,1,18652600,18652600,1
132,2009,12,82,219,66,109,132,1,1,18652600,18652600,1
133,2010,1,90,240,64,136,133,1,1,18843300,18843300,1
134,2010,2,74,190,47,92,134,1,1,18843300,18843300,1
135,2010,3,85,208,65,110,135,1,1,18843300,18843300,1
136,2010,4,112,196,79,101,136,1,1,18843300,18843300,1
137,2010,5,104,231,70,106,137,1,1,18843300,18843300,1
138,2010,6,94,251,64,132,138,1,1,18843300,18843300,1
139,2010,7,83,244,52,125,139,1,1,18843300,18843300,1
140,2010,8,94,245,58,135,140,1,1,18843300,18843300,1
141,2010,9,105,238,72,126,141,1,1,18843300,18843300,1
142,2010,10,97,272,70,142,142,1,1,18843300,18843300,1
143,2010,11,92,231,67,126,143,1,1,18843300,18843300,1
144,2010,12,84,243,59,123,144,1,1,18843300,18843300,1
145,2011,1,117,229,85,116,145,1,1,19107900,19107900,1
146,2011,2,73,199,49,91,146,1,1,19107900,19107900,1
147,2011,3,86,279,61,161,147,1,1,19107900,19107900,1
148,2011,4,93,254,68,125,148,1,1,19107900,19107900,1
149,2011,5,111,236,87,125,149,1,1,19107900,19107900,1
150,2011,6,101,205,72,108,150,1,1,19107900,19107900,1
151,2011,7,96,266,63,131,151,1,1,19107900,19107900,1
152,2011,8,96,286,68,157,152,1,1,19107900,19107900,1
153,2011,9,102,239,70,118,153,1,1,19107900,19107900,1
154,2011,10,80,221,58,126,154,1,1,19107900,19107900,1
155,2011,11,90,240,68,123,155,1,1,19107900,19107900,1
156,2011,12,98,226,68,109,156,1,1,19107900,19107900,1
157,2012,1,102,245,74,118,157,1,1,19355300,19355300,1
158,2012,2,86,219,61,107,158,1,1,19355300,19355300,1
159,2012,3,112,257,81,120,159,1,1,19355300,19355300,1
160,2012,4,87,242,65,119,160,1,1,19355300,19355300,1
161,2012,5,96,289,70,169,161,1,1,19355300,19355300,1
162,2012,6,106,267,77,139,162,1,1,19355300,19355300,1
163,2012,7,113,277,83,128,163,1,1,19355300,19355300,1
164,2012,8,94,277,64,148,164,1,1,19355300,19355300,1
165,2012,9,100,263,75,135,165,1,1,19355300,19355300,1
166,2012,10,96,234,68,129,166,1,1,19355300,19355300,1
167,2012,11,94,208,63,127,167,1,1,19355300,19355300,1
168,2012,12,114,224,81,111,168,1,1,19355300,19355300,1
169,2013,1,98,273,60,138,169,1,1,19600300,19600300,1
170,2013,2,77,208,56,111,170,1,1,19600300,19600300,1
171,2013,3,84,229,57,121,171,1,1,19600300,19600300,1
172,2013,4,103,263,71,138,172,1,1,19600300,19600300,1
173,2013,5,71,250,51,134,173,1,1,19600300,19600300,1
174,2013,6,98,263,64,152,174,1,1,19600300,19600300,1
175,2013,7,114,250,81,142,175,1,1,19600300,19600300,1
176,2013,8,111,229,86,120,176,1,1,19600300,19600300,1
177,2013,9,76,273,50,131,177,1,1,19600300,19600300,1
178,2013,10,106,259,77,140,178,1,1,19600300,19600300,1
179,2013,11,108,211,86,119,179,1,1,19600300,19600300,1
180,2013,12,104,220,77,120,180,1,1,19600300,19600300,1
181,2014,1,95,249,63,141,181,1,1,19893300,19893300,1
182,2014,2,76,223,47,117,182,1,1,19893300,19893300,1
183,2014,3,114,223,82,128,183,1,1,19893300,19893300,1
184,2014,4,99,259,68,132,184,1,1,19893300,19893300,1
185,2014,5,104,220,69,103,185,1,1,19893300,19893300,1
186,2014,6,113,231,77,123,186,1,1,19893300,19893300,1
187,2014,7,84,235,64,111,187,1,1,19893300,19893300,1
188,2014,8,85,301,62,129,188,1,1,19893300,19893300,1
189,2014,9,84,305,57,151,189,1,1,19893300,19893300,1
190,2014,10,116,262,80,134,190,1,1,19893300,19893300,1
191,2014,11,93,244,69,124,191,1,1,19893300,19893300,1
192,2014,12,95,283,79,145,192,1,1,19893300,19893300,1
193,1999,1,183,305,108,142,1,0,0,45578000,37218400,0
194,1999,2,168,273,114,134,2,0,0,45578000,37218400,0
195,1999,3,142,303,77,133,3,0,0,45578000,37218400,0
196,1999,4,157,325,88,132,4,0,0,45578000,37218400,0
197,1999,5,184,328,114,122,5,0,0,45578000,37218400,0
198,1999,6,167,288,95,118,6,0,0,45578000,37218400,0
199,1999,7,187,294,104,130,7,0,0,45578000,37218400,0
200,1999,8,188,336,107,145,8,0,0,45578000,37218400,0
201,1999,9,210,296,110,128,9,0,0,45578000,37218400,0
202,1999,10,191,299,130,129,10,0,0,45578000,37218400,0
203,1999,11,174,337,110,144,11,0,0,45578000,37218400,0
204,1999,12,185,268,111,111,12,0,0,45578000,37218400,0
205,2000,1,174,316,106,136,13,0,0,45901700,37471100,0
206,2000,2,189,268,100,114,14,0,0,45901700,37471100,0
207,2000,3,192,331,123,156,15,0,0,45901700,37471100,0
208,2000,4,176,335,104,127,16,0,0,45901700,37471100,0
209,2000,5,190,306,117,111,17,0,0,45901700,37471100,0
210,2000,6,168,291,98,131,18,0,0,45901700,37471100,0
211,2000,7,201,297,129,128,19,0,0,45901700,37471100,0
212,2000,8,196,305,114,131,20,0,0,45901700,37471100,0
213,2000,9,182,260,104,104,21,0,0,45901700,37471100,0
214,2000,10,191,291,111,131,22,0,0,45901700,37471100,0
215,2000,11,169,298,104,137,23,0,0,45901700,37471100,0
216,2000,12,183,250,116,112,24,0,0,45901700,37471100,0
217,2001,1,210,324,122,138,25,0,0,46161300,37668600,0
218,2001,2,150,309,79,127,26,0,0,46161300,37668600,0
219,2001,3,169,331,105,145,27,0,0,46161300,37668600,0
220,2001,4,172,349,90,139,28,0,0,46161300,37668600,0
221,2001,5,186,360,115,144,29,0,0,46161300,37668600,0
222,2001,6,197,308,119,114,30,0,0,46161300,37668600,0
223,2001,7,220,341,125,133,31,0,0,46161300,37668600,0
224,2001,8,201,353,120,144,32,0,0,46161300,37668600,0
225,2001,9,NA,302,118,132,33,0,0,46161300,37668600,0
226,2001,10,216,293,116,130,34,0,0,46161300,37668600,0
227,2001,11,218,308,128,128,35,0,0,46161300,37668600,0
228,2001,12,210,279,122,117,36,0,0,46161300,37668600,0
229,2002,1,175,320,124,123,37,0,0,46385200,37832600,0
230,2002,2,161,287,94,127,38,0,0,46385200,37832600,0
231,2002,3,183,306,120,126,39,0,0,46385200,37832600,0
232,2002,4,196,355,117,155,40,0,0,46385200,37832600,0
233,2002,5,187,318,123,111,41,0,0,46385200,37832600,0
234,2002,6,162,307,95,130,42,0,0,46385200,37832600,0
235,2002,7,182,377,111,158,43,0,0,46385200,37832600,0
236,2002,8,185,351,114,149,44,0,0,46385200,37832600,0
237,2002,9,206,352,140,142,45,0,0,46385200,37832600,0
238,2002,10,201,309,118,126,46,0,0,46385200,37832600,0
239,2002,11,184,323,120,123,47,0,0,46385200,37832600,0
240,2002,12,186,262,121,107,48,0,0,46385200,37832600,0
241,2003,1,181,324,109,129,49,0,0,46579100,37977700,0
242,2003,2,173,285,107,113,50,0,0,46579100,37977700,0
243,2003,3,211,304,133,121,51,0,0,46579100,37977700,0
244,2003,4,200,319,132,140,52,0,0,46579100,37977700,0
245,2003,5,182,324,109,131,53,0,0,46579100,37977700,0
246,2003,6,216,317,133,121,54,0,0,46579100,37977700,0
247,2003,7,209,277,132,98,55,0,0,46579100,37977700,0
248,2003,8,200,309,129,105,56,0,0,46579100,37977700,0
249,2003,9,221,319,129,129,57,0,0,46579100,37977700,0
250,2003,10,179,301,123,130,58,0,0,46579100,37977700,0
251,2003,11,176,277,129,109,59,0,0,46579100,37977700,0
252,2003,12,220,283,138,110,60,0,0,46579100,37977700,0
253,2004,1,181,331,113,135,61,0,0,46734100,38099500,0
254,2004,2,163,286,93,100,62,0,0,46734100,38099500,0
255,2004,3,172,328,110,126,63,0,0,46734100,38099500,0
256,2004,4,179,316,115,125,64,0,0,46734100,38099500,0
257,2004,5,190,344,123,136,65,0,0,46734100,38099500,0
258,2004,6,183,329,107,129,66,0,0,46734100,38099500,0
259,2004,7,222,354,151,132,67,0,0,46734100,38099500,0
260,2004,8,205,360,125,147,68,0,0,46734100,38099500,0
261,2004,9,216,308,140,122,69,0,0,46734100,38099500,0
262,2004,10,180,327,108,137,70,0,0,46734100,38099500,0
263,2004,11,162,340,108,140,71,0,0,46734100,38099500,0
264,2004,12,182,308,111,123,72,0,0,46734100,38099500,0
265,2005,1,194,311,127,138,73,0,0,46825000,38173000,0
266,2005,2,154,296,96,110,74,0,0,46825000,38173000,0
267,2005,3,186,360,113,150,75,0,0,46825000,38173000,0
268,2005,4,188,330,102,149,76,1,0,46825000,38173000,0
269,2005,5,234,341,158,142,77,1,0,46825000,38173000,0
270,2005,6,217,323,140,127,78,1,0,46825000,38173000,0
271,2005,7,228,343,154,145,79,1,0,46825000,38173000,0
272,2005,8,226,321,142,132,80,1,0,46825000,38173000,0
273,2005,9,219,330,136,139,81,1,0,46825000,38173000,0
274,2005,10,210,343,135,139,82,1,1,46825000,38173000,0
275,2005,11,194,329,128,132,83,1,1,46825000,38173000,0
276,2005,12,198,305,133,132,84,1,1,46825000,38173000,0
277,2006,1,203,316,114,115,85,1,1,46921200,38259500,0
278,2006,2,165,283,108,109,86,1,1,46921200,38259500,0
279,2006,3,165,354,96,115,87,1,1,46921200,38259500,0
280,2006,4,181,347,119,126,88,1,1,46921200,38259500,0
281,2006,5,206,379,136,144,89,1,1,46921200,38259500,0
282,2006,6,233,372,152,128,90,1,1,46921200,38259500,0
283,2006,7,224,380,159,154,91,1,1,46921200,38259500,0
284,2006,8,233,337,149,133,92,1,1,46921200,38259500,0
285,2006,9,204,345,139,145,93,1,1,46921200,38259500,0
286,2006,10,223,342,144,125,94,1,1,46921200,38259500,0
287,2006,11,232,333,145,119,95,1,1,46921200,38259500,0
288,2006,12,218,324,145,124,96,1,1,46921200,38259500,0
289,2007,1,165,352,111,127,97,1,1,47061700,38383800,0
290,2007,2,132,271,80,100,98,1,1,47061700,38383800,0
291,2007,3,178,370,102,134,99,1,1,47061700,38383800,0
292,2007,4,201,341,148,126,100,1,1,47061700,38383800,0
293,2007,5,204,376,146,152,101,1,1,47061700,38383800,0
294,2007,6,204,355,144,145,102,1,1,47061700,38383800,0
295,2007,7,224,370,147,134,103,1,1,47061700,38383800,0
296,2007,8,202,365,139,139,104,1,1,47061700,38383800,0
297,2007,9,183,369,113,142,105,1,1,47061700,38383800,0
298,2007,10,194,362,111,126,106,1,1,47061700,38383800,0
299,2007,11,192,313,125,133,107,1,1,47061700,38383800,0
300,2007,12,223,323,153,129,108,1,1,47061700,38383800,0
301,2008,1,175,344,97,136,109,1,1,47272400,38561300,0
302,2008,2,154,354,88,130,110,1,1,47272400,38561300,0
303,2008,3,164,381,104,153,111,1,1,47272400,38561300,0
304,2008,4,190,409,118,151,112,1,1,47272400,38561300,0
305,2008,5,187,402,121,155,113,1,1,47272400,38561300,0
306,2008,6,201,351,129,123,114,1,1,47272400,38561300,0
307,2008,7,210,368,132,136,115,1,1,47272400,38561300,0
308,2008,8,210,358,129,127,116,1,1,47272400,38561300,0
309,2008,9,198,381,128,146,117,1,1,47272400,38561300,0
310,2008,10,191,361,121,128,118,1,1,47272400,38561300,0
311,2008,11,167,340,106,129,119,1,1,47272400,38561300,0
312,2008,12,186,335,132,123,120,1,1,47272400,38561300,0
313,2009,1,150,281,106,102,121,1,1,47517500,38761900,0
314,2009,2,142,284,85,123,122,1,1,47517500,38761900,0
315,2009,3,146,365,90,126,123,1,1,47517500,38761900,0
316,2009,4,186,316,123,126,124,1,1,47517500,38761900,0
317,2009,5,171,340,115,126,125,1,1,47517500,38761900,0
318,2009,6,179,333,120,134,126,1,1,47517500,38761900,0
319,2009,7,205,331,134,128,127,1,1,47517500,38761900,0
320,2009,8,208,390,141,138,128,1,1,47517500,38761900,0
321,2009,9,157,414,105,145,129,1,1,47517500,38761900,0
322,2009,10,193,355,117,129,130,1,1,47517500,38761900,0
323,2009,11,162,342,109,125,131,1,1,47517500,38761900,0
324,2009,12,197,362,127,137,132,1,1,47517500,38761900,0
325,2010,1,171,340,104,134,133,1,1,47754700,38953100,0
326,2010,2,137,351,88,140,134,1,1,47754700,38953100,0
327,2010,3,175,401,112,147,135,1,1,47754700,38953100,0
328,2010,4,183,386,122,138,136,1,1,47754700,38953100,0
329,2010,5,177,409,116,166,137,1,1,47754700,38953100,0
330,2010,6,207,431,138,149,138,1,1,47754700,38953100,0
331,2010,7,242,425,148,162,139,1,1,47754700,38953100,0
332,2010,8,208,425,142,158,140,1,1,47754700,38953100,0
333,2010,9,203,396,146,143,141,1,1,47754700,38953100,0
334,2010,10,201,409,135,156,142,1,1,47754700,38953100,0
335,2010,11,161,351,100,133,143,1,1,47754700,38953100,0
336,2010,12,163,344,111,133,144,1,1,47754700,38953100,0
337,2011,1,148,396,85,130,145,1,1,48022300,39179400,0
338,2011,2,129,344,83,134,146,1,1,48022300,39179400,0
339,2011,3,177,422,113,159,147,1,1,48022300,39179400,0
340,2011,4,187,421,125,164,148,1,1,48022300,39179400,0
341,2011,5,190,425,124,167,149,1,1,48022300,39179400,0
342,2011,6,165,386,103,150,150,1,1,48022300,39179400,0
343,2011,7,224,432,157,159,151,1,1,48022300,39179400,0
344,2011,8,215,418,141,152,152,1,1,48022300,39179400,0
345,2011,9,184,408,126,153,153,1,1,48022300,39179400,0
346,2011,10,193,466,129,185,154,1,1,48022300,39179400,0
347,2011,11,185,386,111,145,155,1,1,48022300,39179400,0
348,2011,12,200,362,141,137,156,1,1,48022300,39179400,0
349,2012,1,162,411,101,143,157,1,1,48227100,39352200,0
350,2012,2,130,370,72,133,158,1,1,48227100,39352200,0
351,2012,3,165,413,102,143,159,1,1,48227100,39352200,0
352,2012,4,171,422,118,169,160,1,1,48227100,39352200,0
353,2012,5,163,430,112,164,161,1,1,48227100,39352200,0
354,2012,6,172,459,114,188,162,1,1,48227100,39352200,0
355,2012,7,236,429,170,160,163,1,1,48227100,39352200,0
356,2012,8,179,453,112,162,164,1,1,48227100,39352200,0
357,2012,9,184,399,125,155,165,1,1,48227100,39352200,0
358,2012,10,172,411,120,171,166,1,1,48227100,39352200,0
359,2012,11,188,392,116,146,167,1,1,48227100,39352200,0
360,2012,12,180,407,111,153,168,1,1,48227100,39352200,0
361,2013,1,167,434,108,163,169,1,1,48438500,39531100,0
362,2013,2,138,372,93,142,170,1,1,48438500,39531100,0
363,2013,3,147,477,92,186,171,1,1,48438500,39531100,0
364,2013,4,152,428,96,152,172,1,1,48438500,39531100,0
365,2013,5,200,405,125,140,173,1,1,48438500,39531100,0
366,2013,6,168,429,109,164,174,1,1,48438500,39531100,0
367,2013,7,197,449,132,170,175,1,1,48438500,39531100,0
368,2013,8,199,438,126,153,176,1,1,48438500,39531100,0
369,2013,9,166,404,104,133,177,1,1,48438500,39531100,0
370,2013,10,187,422,126,147,178,1,1,48438500,39531100,0
371,2013,11,164,396,114,169,179,1,1,48438500,39531100,0
372,2013,12,201,388,133,147,180,1,1,48438500,39531100,0
373,2014,1,151,415,103,167,181,1,1,48612800,39674000,0
374,2014,2,123,350,75,140,182,1,1,48612800,39674000,0
375,2014,3,143,409,99,137,183,1,1,48612800,39674000,0
376,2014,4,146,434,96,173,184,1,1,48612800,39674000,0
377,2014,5,174,451,106,168,185,1,1,48612800,39674000,0
378,2014,6,193,425,132,166,186,1,1,48612800,39674000,0
379,2014,7,167,415,109,148,187,1,1,48612800,39674000,0
380,2014,8,164,490,104,152,188,1,1,48612800,39674000,0
381,2014,9,166,460,113,163,189,1,1,48612800,39674000,0
382,2014,10,183,451,122,153,190,1,1,48612800,39674000,0
383,2014,11,178,421,119,140,191,1,1,48612800,39674000,0
384,2014,12,163,378,116,136,192,1,1,48612800,39674000,0
