year,month,fl_hom,fl_fhom,fl_suic,fl_fsuic,c_hom,time,Sign,Effective,fl_stdpop,c_stdpop,,Population_CT,Homicide_num_CT,Population_MD,Homicide_num_MD
2008,7,119,76,232,113,35,115,1,1,18527300,9230544,,3545579,10,5684965,25
2008,8,93,59,194,103,46,116,1,1,18527300,9230544,,3545579,9,5684965,37
2008,9,109,73,242,127,35,117,1,1,18527300,9230544,,3545579,5,5684965,30
2008,10,113,86,241,123,39,118,1,1,18527300,9230544,,3545579,3,5684965,36
2008,11,96,60,193,90,48,119,1,1,18527300,9230544,,3545579,5,5684965,43
2008,12,115,72,232,130,32,120,1,1,18527300,9230544,,3545579,5,5684965,27
2009,1,91,63,240,123,36,121,1,1,18652600,9292195,,3561807,3,5730388,33
2009,2,74,49,215,118,26,122,1,1,18652600,9292195,,3561807,7,5730388,19
2009,3,107,74,232,121,23,123,1,1,18652600,9292195,,3561807,3,5730388,20
2009,4,91,56,256,116,31,124,1,1,18652600,9292195,,3561807,8,5730388,23
2009,5,87,65,261,135,34,125,1,1,18652600,9292195,,3561807,5,5730388,29
2009,6,94,68,254,135,39,126,1,1,18652600,9292195,,3561807,15,5730388,24
2009,7,102,76,244,140,33,127,1,1,18652600,9292195,,3561807,5,5730388,28
2009,8,108,80,256,125,29,128,1,1,18652600,9292195,,3561807,6,5730388,23
2009,9,97,62,260,130,32,129,1,1,18652600,9292195,,3561807,1,5730388,31
2009,10,89,58,220,110,36,130,1,1,18652600,9292195,,3561807,10,5730388,26
2009,11,112,87,201,110,43,131,1,1,18652600,9292195,,3561807,8,5730388,35
2009,12,82,66,219,109,32,132,1,1,18652600,9292195,,3561807,7,5730388,25
2010,1,90,64,240,136,21,133,1,1,18843300,9347649,,3574097,10,5773552,11
2010,2,74,47,190,92,16,134,1,1,18843300,9347649,,3574097,2,5773552,14
2010,3,85,65,208,110,37,135,1,1,18843300,9347649,,3574097,7,5773552,30
2010,4,112,79,196,101,25,136,1,1,18843300,9347649,,3574097,1,5773552,24
2010,5,104,70,231,106,35,137,1,1,18843300,9347649,,3574097,3,5773552,32
2010,6,94,64,251,132,32,138,1,1,18843300,9347649,,3574097,0,5773552,32
2010,7,83,52,244,125,40,139,1,1,18843300,9347649,,3574097,10,5773552,30
2010,8,94,58,245,135,49,140,1,1,18843300,9347649,,3574097,15,5773552,34
2010,9,105,72,238,126,34,141,1,1,18843300,9347649,,3574097,8,5773552,26
2010,10,97,70,272,142,31,142,1,1,18843300,9347649,,3574097,4,5773552,27
2010,11,92,67,231,126,24,143,1,1,18843300,9347649,,3574097,6,5773552,18
2010,12,84,59,243,123,29,144,1,1,18843300,9347649,,3574097,1,5773552,28
2011,1,117,85,229,116,36,145,1,1,19107900,9408998,,3580709,5,5828289,31
2011,2,73,49,199,91,23,146,1,1,19107900,9408998,,3580709,6,5828289,17
2011,3,86,61,279,161,28,147,1,1,19107900,9408998,,3580709,9,5828289,19
2011,4,93,68,254,125,41,148,1,1,19107900,9408998,,3580709,14,5828289,27
2011,5,111,87,236,125,29,149,1,1,19107900,9408998,,3580709,4,5828289,25
2011,6,101,72,205,108,29,150,1,1,19107900,9408998,,3580709,3,5828289,26
2011,7,96,63,266,131,36,151,1,1,19107900,9408998,,3580709,11,5828289,25
2011,8,96,68,286,157,28,152,1,1,19107900,9408998,,3580709,3,5828289,25
2011,9,102,70,239,118,23,153,1,1,19107900,9408998,,3580709,1,5828289,22
2011,10,80,58,221,126,30,154,1,1,19107900,9408998,,3580709,8,5828289,22
2011,11,90,68,240,123,27,155,1,1,19107900,9408998,,3580709,5,5828289,22
2011,12,98,68,226,109,25,156,1,1,19107900,9408998,,3580709,10,5828289,15
2012,1,102,74,245,118,24,157,1,1,19355300,9474910,,3590347,8,5884563,16
2012,2,86,61,219,107,20,158,1,1,19355300,9474910,,3590347,3,5884563,17
2012,3,112,81,257,120,31,159,1,1,19355300,9474910,,3590347,0,5884563,31
2012,4,87,65,242,119,32,160,1,1,19355300,9474910,,3590347,8,5884563,24
2012,5,96,70,289,169,31,161,1,1,19355300,9474910,,3590347,6,5884563,25
2012,6,106,77,267,139,31,162,1,1,19355300,9474910,,3590347,3,5884563,28
2012,7,113,83,277,128,42,163,1,1,19355300,9474910,,3590347,16,5884563,26
2012,8,94,64,277,148,30,164,1,1,19355300,9474910,,3590347,6,5884563,24
2012,9,100,75,263,135,42,165,1,1,19355300,9474910,,3590347,10,5884563,32
2012,10,96,68,234,129,33,166,1,1,19355300,9474910,,3590347,9,5884563,24
2012,11,94,63,208,127,30,167,1,1,19355300,9474910,,3590347,8,5884563,22
2012,12,114,81,224,111,59,168,1,1,19355300,9474910,,3590347,34,5884563,25
2013,1,98,60,273,138,31,169,1,1,19600300,9524894,,3596080,9,5928814,22
2013,2,77,56,208,111,27,170,1,1,19600300,9524894,,3596080,2,5928814,25
2013,3,84,57,229,121,28,171,1,1,19600300,9524894,,3596080,8,5928814,20
2013,4,103,71,263,138,28,172,1,1,19600300,9524894,,3596080,8,5928814,20
2013,5,71,51,250,134,25,173,1,1,19600300,9524894,,3596080,0,5928814,25
2013,6,98,64,263,152,36,174,1,1,19600300,9524894,,3596080,7,5928814,29
2013,7,114,81,250,142,33,175,1,1,19600300,9524894,,3596080,6,5928814,27
2013,8,111,86,229,120,28,176,1,1,19600300,9524894,,3596080,10,5928814,18
2013,9,76,50,273,131,33,177,1,1,19600300,9524894,,3596080,0,5928814,33
2013,10,106,77,259,140,30,178,1,1,19600300,9524894,,3596080,6,5928814,24
2013,11,108,86,211,119,39,179,1,1,19600300,9524894,,3596080,7,5928814,32
2013,12,104,77,220,120,34,180,1,1,19600300,9524894,,3596080,10,5928814,24
2014,1,95,63,249,141,35,181,1,1,19893300,9573084,,3596677,4,5976407,31
2014,2,76,47,223,117,18,182,1,1,19893300,9573084,,3596677,5,5976407,13
2014,3,114,82,223,128,20,183,1,1,19893300,9573084,,3596677,8,5976407,12
2014,4,99,68,259,132,16,184,1,1,19893300,9573084,,3596677,3,5976407,13
2014,5,104,69,220,103,24,185,1,1,19893300,9573084,,3596677,3,5976407,21
2014,6,113,77,231,123,30,186,1,1,19893300,9573084,,3596677,8,5976407,22
2014,7,84,64,235,111,26,187,1,1,19893300,9573084,,3596677,8,5976407,18
2014,8,85,62,301,129,43,188,1,1,19893300,9573084,,3596677,10,5976407,33
2014,9,84,57,305,151,24,189,1,1,19893300,9573084,,3596677,3,5976407,21
2014,10,116,80,262,134,31,190,1,1,19893300,9573084,,3596677,6,5976407,25
2014,11,93,69,244,124,17,191,1,1,19893300,9573084,,3596677,1,5976407,16
2014,12,95,79,283,145,25,192,1,1,19893300,9573084,,3596677,1,5976407,24
