year,month,fl_hom,fl_fhom,fl_suic,fl_fsuic,c_hom,c_fhom,c_suic,c_fsuic,time,Sign,Effective,fl_stdpop,c_stdpop,c2_stdpop,
2005,1,81,43,198,89,194,127,311,138,73,0,0,17842000,46825000,38173000,
2005,2,56,34,187,88,154,96,296,110,74,0,0,17842000,46825000,38173000,
2005,3,80,48,195,97,186,113,360,150,75,0,0,17842000,46825000,38173000,
2005,4,74,50,207,109,188,102,330,149,76,1,0,17842000,46825000,38173000,
2005,5,81,44,196,87,234,158,341,142,77,1,0,17842000,46825000,38173000,
2005,6,93,60,196,96,217,140,323,127,78,1,0,17842000,46825000,38173000,
2005,7,103,70,206,100,228,154,343,145,79,1,0,17842000,46825000,38173000,
2005,8,84,55,208,113,226,142,321,132,80,1,0,17842000,46825000,38173000,
2005,9,70,43,203,103,219,136,330,139,81,1,0,17842000,46825000,38173000,
2005,10,91,58,169,94,210,135,343,139,82,1,1,17842000,46825000,38173000,
2005,11,93,59,182,85,194,128,329,132,83,1,1,17842000,46825000,38173000,
2005,12,92,67,200,102,198,133,305,132,84,1,1,17842000,46825000,38173000,
2006,1,101,59,210,108,203,114,316,115,85,1,1,18167000,46921200,38259500,
2006,2,100,65,156,70,165,108,283,109,86,1,1,18167000,46921200,38259500,
2006,3,74,50,194,93,165,96,354,115,87,1,1,18167000,46921200,38259500,
2006,4,94,70,209,111,181,119,347,126,88,1,1,18167000,46921200,38259500,
2006,5,117,76,219,105,206,136,379,144,89,1,1,18167000,46921200,38259500,
2006,6,90,62,223,125,233,152,372,128,90,1,1,18167000,46921200,38259500,
2006,7,108,74,186,95,224,159,380,154,91,1,1,18167000,46921200,38259500,
2006,8,107,66,199,90,233,149,337,133,92,1,1,18167000,46921200,38259500,
2006,9,96,67,203,113,204,139,345,145,93,1,1,18167000,46921200,38259500,
2006,10,117,70,233,110,223,144,342,125,94,1,1,18167000,46921200,38259500,
2006,11,93,63,203,101,232,145,333,119,95,1,1,18167000,46921200,38259500,
2006,12,117,81,205,106,218,145,324,124,96,1,1,18167000,46921200,38259500,
2007,1,125,90,216,109,165,111,352,127,97,1,1,18367800,47061700,38383800,
2007,2,76,60,184,95,132,80,271,100,98,1,1,18367800,47061700,38383800,
2007,3,111,74,214,94,178,102,370,134,99,1,1,18367800,47061700,38383800,
2007,4,113,78,229,111,201,148,341,126,100,1,1,18367800,47061700,38383800,
2007,5,116,77,216,104,204,146,376,152,101,1,1,18367800,47061700,38383800,
2007,6,110,75,207,119,204,144,355,145,102,1,1,18367800,47061700,38383800,
2007,7,144,96,225,117,224,147,370,134,103,1,1,18367800,47061700,38383800,
2007,8,104,82,219,99,202,139,365,139,104,1,1,18367800,47061700,38383800,
2007,9,108,80,215,120,183,113,369,142,105,1,1,18367800,47061700,38383800,
2007,10,95,67,241,114,194,111,362,126,106,1,1,18367800,47061700,38383800,
2007,11,110,84,210,104,192,125,313,133,107,1,1,18367800,47061700,38383800,
2007,12,112,72,211,98,223,153,323,129,108,1,1,18367800,47061700,38383800,
2008,1,95,73,241,125,175,97,344,136,109,1,1,18527300,47272400,38561300,
2008,2,119,80,218,118,154,88,354,130,110,1,1,18527300,47272400,38561300,
2008,3,101,65,218,111,164,104,381,153,111,1,1,18527300,47272400,38561300,
2008,4,105,68,212,114,190,118,409,151,112,1,1,18527300,47272400,38561300,
2008,5,127,94,266,129,187,121,402,155,113,1,1,18527300,47272400,38561300,
2008,6,108,80,251,114,201,129,351,123,114,1,1,18527300,47272400,38561300,
2008,7,119,76,232,113,210,132,368,136,115,1,1,18527300,47272400,38561300,
2008,8,93,59,194,103,210,129,358,127,116,1,1,18527300,47272400,38561300,
2008,9,109,73,242,127,198,128,381,146,117,1,1,18527300,47272400,38561300,
2008,10,113,86,241,123,191,121,361,128,118,1,1,18527300,47272400,38561300,
2008,11,96,60,193,90,167,106,340,129,119,1,1,18527300,47272400,38561300,
2008,12,115,72,232,130,186,132,335,123,120,1,1,18527300,47272400,38561300,
2009,1,91,63,240,123,150,106,281,102,121,1,1,18652600,47517500,38761900,
2009,2,74,49,215,118,142,85,284,123,122,1,1,18652600,47517500,38761900,
2009,3,107,74,232,121,146,90,365,126,123,1,1,18652600,47517500,38761900,
2009,4,91,56,256,116,186,123,316,126,124,1,1,18652600,47517500,38761900,
2009,5,87,65,261,135,171,115,340,126,125,1,1,18652600,47517500,38761900,
2009,6,94,68,254,135,179,120,333,134,126,1,1,18652600,47517500,38761900,
2009,7,102,76,244,140,205,134,331,128,127,1,1,18652600,47517500,38761900,
2009,8,108,80,256,125,208,141,390,138,128,1,1,18652600,47517500,38761900,
2009,9,97,62,260,130,157,105,414,145,129,1,1,18652600,47517500,38761900,
2009,10,89,58,220,110,193,117,355,129,130,1,1,18652600,47517500,38761900,
2009,11,112,87,201,110,162,109,342,125,131,1,1,18652600,47517500,38761900,
2009,12,82,66,219,109,197,127,362,137,132,1,1,18652600,47517500,38761900,
2010,1,90,64,240,136,171,104,340,134,133,1,1,18843300,47754700,38953100,
2010,2,74,47,190,92,137,88,351,140,134,1,1,18843300,47754700,38953100,
2010,3,85,65,208,110,175,112,401,147,135,1,1,18843300,47754700,38953100,
2010,4,112,79,196,101,183,122,386,138,136,1,1,18843300,47754700,38953100,
2010,5,104,70,231,106,177,116,409,166,137,1,1,18843300,47754700,38953100,
2010,6,94,64,251,132,207,138,431,149,138,1,1,18843300,47754700,38953100,
2010,7,83,52,244,125,242,148,425,162,139,1,1,18843300,47754700,38953100,
2010,8,94,58,245,135,208,142,425,158,140,1,1,18843300,47754700,38953100,
2010,9,105,72,238,126,203,146,396,143,141,1,1,18843300,47754700,38953100,
2010,10,97,70,272,142,201,135,409,156,142,1,1,18843300,47754700,38953100,
2010,11,92,67,231,126,161,100,351,133,143,1,1,18843300,47754700,38953100,
2010,12,84,59,243,123,163,111,344,133,144,1,1,18843300,47754700,38953100,
2011,1,117,85,229,116,148,85,396,130,145,1,1,19107900,48022300,39179400,
2011,2,73,49,199,91,129,83,344,134,146,1,1,19107900,48022300,39179400,
2011,3,86,61,279,161,177,113,422,159,147,1,1,19107900,48022300,39179400,
2011,4,93,68,254,125,187,125,421,164,148,1,1,19107900,48022300,39179400,
2011,5,111,87,236,125,190,124,425,167,149,1,1,19107900,48022300,39179400,
2011,6,101,72,205,108,165,103,386,150,150,1,1,19107900,48022300,39179400,
2011,7,96,63,266,131,224,157,432,159,151,1,1,19107900,48022300,39179400,
2011,8,96,68,286,157,215,141,418,152,152,1,1,19107900,48022300,39179400,
2011,9,102,70,239,118,184,126,408,153,153,1,1,19107900,48022300,39179400,
2011,10,80,58,221,126,193,129,466,185,154,1,1,19107900,48022300,39179400,
2011,11,90,68,240,123,185,111,386,145,155,1,1,19107900,48022300,39179400,
2011,12,98,68,226,109,200,141,362,137,156,1,1,19107900,48022300,39179400,
2012,1,102,74,245,118,162,101,411,143,157,1,1,19355300,48227100,39352200,
2012,2,86,61,219,107,130,72,370,133,158,1,1,19355300,48227100,39352200,
2012,3,112,81,257,120,165,102,413,143,159,1,1,19355300,48227100,39352200,
2012,4,87,65,242,119,171,118,422,169,160,1,1,19355300,48227100,39352200,
2012,5,96,70,289,169,163,112,430,164,161,1,1,19355300,48227100,39352200,
2012,6,106,77,267,139,172,114,459,188,162,1,1,19355300,48227100,39352200,
2012,7,113,83,277,128,236,170,429,160,163,1,1,19355300,48227100,39352200,
2012,8,94,64,277,148,179,112,453,162,164,1,1,19355300,48227100,39352200,
2012,9,100,75,263,135,184,125,399,155,165,1,1,19355300,48227100,39352200,
2012,10,96,68,234,129,172,120,411,171,166,1,1,19355300,48227100,39352200,
2012,11,94,63,208,127,188,116,392,146,167,1,1,19355300,48227100,39352200,
2012,12,114,81,224,111,180,111,407,153,168,1,1,19355300,48227100,39352200,
2013,1,98,60,273,138,167,108,434,163,169,1,1,19600300,48438500,39531100,
2013,2,77,56,208,111,138,93,372,142,170,1,1,19600300,48438500,39531100,
2013,3,84,57,229,121,147,92,477,186,171,1,1,19600300,48438500,39531100,
2013,4,103,71,263,138,152,96,428,152,172,1,1,19600300,48438500,39531100,
2013,5,71,51,250,134,200,125,405,140,173,1,1,19600300,48438500,39531100,
2013,6,98,64,263,152,168,109,429,164,174,1,1,19600300,48438500,39531100,
2013,7,114,81,250,142,197,132,449,170,175,1,1,19600300,48438500,39531100,
2013,8,111,86,229,120,199,126,438,153,176,1,1,19600300,48438500,39531100,
2013,9,76,50,273,131,166,104,404,133,177,1,1,19600300,48438500,39531100,
2013,10,106,77,259,140,187,126,422,147,178,1,1,19600300,48438500,39531100,
2013,11,108,86,211,119,164,114,396,169,179,1,1,19600300,48438500,39531100,
2013,12,104,77,220,120,201,133,388,147,180,1,1,19600300,48438500,39531100,
2014,1,95,63,249,141,151,103,415,167,181,1,1,19893300,48612800,39674000,
2014,2,76,47,223,117,123,75,350,140,182,1,1,19893300,48612800,39674000,
2014,3,114,82,223,128,143,99,409,137,183,1,1,19893300,48612800,39674000,
2014,4,99,68,259,132,146,96,434,173,184,1,1,19893300,48612800,39674000,
2014,5,104,69,220,103,174,106,451,168,185,1,1,19893300,48612800,39674000,
2014,6,113,77,231,123,193,132,425,166,186,1,1,19893300,48612800,39674000,
2014,7,84,64,235,111,167,109,415,148,187,1,1,19893300,48612800,39674000,
2014,8,85,62,301,129,164,104,490,152,188,1,1,19893300,48612800,39674000,
2014,9,84,57,305,151,166,113,460,163,189,1,1,19893300,48612800,39674000,
2014,10,116,80,262,134,183,122,451,153,190,1,1,19893300,48612800,39674000,
2014,11,93,69,244,124,178,119,421,140,191,1,1,19893300,48612800,39674000,
2014,12,95,79,283,145,163,116,378,136,192,1,1,19893300,48612800,39674000,
