,State,State.Code,Year,Deaths,Population,Homicide_num,Year.month,Month.code,Unemployment_adj,Firearm.suicides,Suicides,Paid.Hunting.License.Holders,Annual.Burglary.Rate,Personal.income.per.capita..dollars.,Annual.robbery.rate,Annual.incarceration.rate,Number.of.sworn.officers.per.1.000.U.S..residents,Percentage.of.republican.voters.in.presidential.election,Num_pop_over15,Proportion.of.population.hispanic,Proportion.of.population.AA.or.B,Percentage.4.year.bachelors.or.above..25.years.old.and.over,Proportion.of.15.24,Density,Gallons.of.ethanol,Num_pov,MSA,Prop_male,homicide_total,prop_urban,p100khomicide_firearm,homicide_exclfirearm,p100khomicide_exclfirearm,p100khomicide_firearm_m6,time,Case
25,Arkansas,5,2001,2696,2691571,12,2001/01,1,4.5,25,32,400555,823.7,23873,823.7,447,NA,NA,2130542,3.5862,15.7478,18.6,14.36737132,NA,5436669,2650,NA,NA,15,NA,0.445836279,3,0.11145907,0.446888478,25,0
26,Arkansas,5,2001,2284,2691571,9,2001/02,2,10.5,23,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,0.334377209,-7,-0.260071163,0.378227459,26,0
27,Arkansas,5,2001,2536,2691571,14,2001/03,3,10.5,26,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,0.520142326,3,0.11145907,0.321992868,27,0
28,Arkansas,5,2001,2379,2691571,12,2001/04,4,10.3,20,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,0.445836279,8,0.297224186,0.253878992,28,0
29,Arkansas,5,2001,2410,2691571,2,2001/05,5,10.1,24,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,0.074306047,13,0.482989303,0.210533799,29,0
30,Arkansas,5,2001,2138,2691571,3,2001/06,6,9.9,26,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,0.11145907,12,0.445836279,0.154804264,30,0
31,Arkansas,5,2001,2154,2691571,1,2001/07,7,9.6,27,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,0.037153023,14,0.520142326,0.105266899,31,0
32,Arkansas,5,2001,2101,2691571,2,2001/08,8,9.4,19,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,0.074306047,11,0.408683256,0.167188605,32,0
33,Arkansas,5,2001,2347,2691571,4,2001/10,10,8.9,24,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,0.148612093,14,0.520142326,0.278319156,34,0
34,Arkansas,5,2001,2174,2691571,12,2001/11,11,8.6,14,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,0.445836279,6,0.22291814,0.339846639,35,0
35,Arkansas,5,2001,2384,2691571,12,2001/12,12,8.4,23,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,0.445836279,3,0.11145907,0.345841698,36,0
36,Arkansas,5,2002,2493,2705927,10,2002/01,1,5.5,19,29,NA,858.3,24237,858.3,479,NA,NA,2144748,3.906,15.7324,18.3,14.40622751,NA,20793440,2690,NA,NA,14,NA,0.36955912,4,0.147823648,0.382666202,37,0
37,Arkansas,5,2002,2413,2705927,12,2002/02,2,8.2,25,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,0.443470944,6,0.221735472,0.400749936,38,0
38,Arkansas,5,2002,2765,2705927,6,2002/03,3,8,23,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,0.221735472,7,0.258691384,0.326443889,39,0
39,Arkansas,5,2002,2295,2705927,10,2002/04,4,7.9,28,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,0.36955912,4,0.147823648,0.338762526,40,0
40,Arkansas,5,2002,2317,2705927,15,2002/05,5,7.8,21,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,0.554338679,1,0.036955912,0.375718438,41,0
41,Arkansas,5,2002,2261,2705927,0,2002/06,6,7.8,19,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,0,11,0.406515032,0.406515032,42,0
42,Arkansas,5,2002,2229,2705927,12,2002/07,7,7.8,22,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,0.443470944,3,0.110867736,0.4619489,43,0
43,Arkansas,5,2002,2250,2705927,18,2002/08,8,7.8,14,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,0.665206415,1,0.036955912,0.437311625,44,0
44,Arkansas,5,2002,2280,2705927,11,2002/09,9,7.8,11,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,0.406515032,1,0.036955912,0.529701405,45,0
45,Arkansas,5,2002,2318,2705927,19,2002/10,10,7.8,28,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,NA,0.702162327,4,0.147823648,0.535305653,46,0
46,Arkansas,5,2002,2297,2705927,11,2002/11,11,7.8,20,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,0.406515032,4,0.147823648,0.461137643,47,0
47,Arkansas,5,2002,2595,2705927,15,2002/12,12,7.7,27,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,NA,0.554338679,9,0.332603208,0.442318106,48,0
48,Arkansas,5,2003,2479,2724816,13,2003/01,1,5.6,20,33,NA,917.1,25462,917.1,476,NA,NA,2162549,4.2434,15.7015,17.4,14.40222019,NA,2304249,2670,NA,NA,19,NA,0.477096435,6,0.220198355,0.331407672,49,0
49,Arkansas,5,2003,2288,2724816,6,2003/02,2,6.4,17,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,0.220198355,7,0.25689808,0.34928786,50,0
50,Arkansas,5,2003,2351,2724816,8,2003/03,3,6.4,21,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,0.293597806,5,0.183498629,0.31806429,51,0
51,Arkansas,5,2003,2257,2724816,1,2003/04,4,6.5,31,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,0.036699726,10,0.366997258,0.324180911,52,0
52,Arkansas,5,2003,2274,2724816,14,2003/05,5,6.5,20,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,0.513796161,5,0.183498629,0.330297532,53,0
53,Arkansas,5,2003,2131,2724816,10,2003/06,6,6.6,24,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,0.366997258,7,0.25689808,0.305831048,54,0
54,Arkansas,5,2003,2227,2724816,14,2003/07,7,6.6,27,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,NA,0.513796161,9,0.330297532,0.3792305,55,0
55,Arkansas,5,2003,2161,2724816,7,2003/08,8,6.5,20,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,0.25689808,3,0.110099177,0.366997258,56,0
56,Arkansas,5,2003,2168,2724816,4,2003/09,9,6.4,22,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,0.146798903,13,0.477096435,0.342530774,57,0
57,Arkansas,5,2003,2334,2724816,13,2003/10,10,6.2,15,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,0.477096435,8,0.293597806,0.317511062,58,0
58,Arkansas,5,2003,2356,2724816,12,2003/11,11,6.1,23,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,0.440396709,7,0.25689808,0.335307697,59,0
59,Arkansas,5,2003,2892,2724816,6,2003/12,12,6,18,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,0.220198355,7,0.25689808,0.371454194,60,0
60,Arkansas,5,2004,2693,2749686,10,2004/01,1,5.9,23,29,NA,NA,26855,NA,495,2.15,0.5431,2184217,4.5497,15.6702,18.8,14.30985211,NA,6744217,2723,NA,NA,14,NA,0.363677889,4,0.145471156,0.346489805,61,0
61,Arkansas,5,2004,2469,2749686,10,2004/02,2,3.1,20,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,0.363677889,6,0.218206733,0.333703335,62,0
62,Arkansas,5,2004,2460,2749686,10,2004/03,3,3,17,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,0.363677889,3,0.109103367,0.381861783,63,0
63,Arkansas,5,2004,2268,2749686,9,2004/04,4,3,24,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,0.3273101,7,0.254574522,0.418229572,64,0
64,Arkansas,5,2004,2203,2749686,10,2004/05,5,2.9,19,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,0.363677889,9,0.3273101,0.400045678,65,0
65,Arkansas,5,2004,2141,2749686,14,2004/06,6,2.9,16,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,0.509149045,7,0.254574522,0.351555293,66,0
66,Arkansas,5,2004,2230,2749686,16,2004/07,7,2.8,22,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,NA,0.581884622,8,0.290942311,0.357616591,67,0
67,Arkansas,5,2004,2191,2749686,7,2004/08,8,2.8,19,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,0.254574522,7,0.254574522,0.412168274,68,0
68,Arkansas,5,2004,2060,2749686,2,2004/09,9,2.8,21,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,0.072735578,9,0.3273101,0.454597361,69,0
69,Arkansas,5,2004,2231,2749686,10,2004/10,10,2.7,18,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,0.363677889,6,0.218206733,0.381587947,70,0
70,Arkansas,5,2004,2113,2749686,19,2004/11,11,2.7,15,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,0.690987989,6,0.218206733,0.411072928,71,0
71,Arkansas,5,2004,2469,2749686,21,2004/12,12,2.7,18,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,0.763723567,1,0.036367789,0.434907366,72,0
72,Arkansas,5,2005,2521,2781097,4,2005/01,1,5.4,25,34,NA,NA,27915,NA,479,NA,NA,2211423,4.9314,15.6113,17.5,14.18691977,NA,1273980,2756,NA,NA,15,NA,0.143828137,11,0.395527376,0.46418697,73,0
73,Arkansas,5,2005,2423,2781097,12,2005/02,2,4.7,15,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,0.431484411,2,0.071914068,0.378986501,74,0
74,Arkansas,5,2005,2794,2781097,6,2005/03,3,4.8,22,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,0.215742205,10,0.359570342,0.401520215,75,0
75,Arkansas,5,2005,2449,2781097,15,2005/04,4,5,26,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,0.539355513,3,0.107871103,0.479427123,76,0
76,Arkansas,5,2005,2224,2781097,5,2005/05,5,5.2,26,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,0.179785171,7,0.25169924,0.455455767,77,0
77,Arkansas,5,2005,2165,2781097,25,2005/06,6,5.5,18,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,NA,0.898925856,6,0.215742205,0.49740564,78,0
78,Arkansas,5,2005,2198,2781097,17,2005/07,7,5.9,18,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,NA,0.611269582,6,0.215742205,0.503398479,79,0
79,Arkansas,5,2005,2183,2781097,8,2005/08,8,6.4,23,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,0.287656274,5,0.179785171,0.55733403,80,0
80,Arkansas,5,2005,2093,2781097,13,2005/09,9,6.8,32,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,0.467441445,3,0.107871103,0.491412801,81,0
81,Connecticut,9,1999,2982,3386401,11,1999/01,1,3,8,23,61608,588,39160,588,397,NA,NA,399056,9.1114,10.0933,33.5,11.78407401,NA,1197661,3418,NA,NA,18,NA,0.324828631,7,0.206709129,0.162414315,1,0
82,Connecticut,9,1999,2686,3386401,2,1999/02,2,4.1,5,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,0.059059751,2,0.059059751,0.162414315,2,0
83,Connecticut,9,1999,2727,3386401,0,1999/03,3,4.2,7,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,0,11,0.324828631,0.162414315,3,0
84,Connecticut,9,1999,2415,3386401,9,1999/04,4,4.2,6,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,0.26576888,-2,-0.059059751,0.162414315,4,0
85,Connecticut,9,1999,2393,3386401,5,1999/05,5,4.3,11,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,0.147649378,2,0.059059751,0.206709129,5,0
86,Connecticut,9,1999,2173,3386401,6,1999/06,6,4.4,15,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,0.177179253,9,0.26576888,0.251003942,6,0
87,Connecticut,9,1999,2262,3386401,11,1999/07,7,4.5,10,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,0.324828631,1,0.029529876,0.211630775,7,0
88,Connecticut,9,1999,2241,3386401,11,1999/08,8,4.6,10,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,0.324828631,0,0,0.211630775,8,0
89,Connecticut,9,1999,2129,3386401,9,1999/09,9,4.7,6,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,0.26576888,2,0.059059751,0.187022545,9,0
90,Connecticut,9,1999,2375,3386401,1,1999/10,10,4.8,17,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,0.029529876,11,0.324828631,0.167142094,10,0
91,Connecticut,9,1999,2394,3386401,5,1999/11,11,4.9,5,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,0.147649378,-1,-0.029529876,0.152155593,11,0
92,Connecticut,9,1999,2669,3386401,1,1999/12,12,5.1,1,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,0.029529876,7,0.206709129,0.11275473,12,0
93,Connecticut,9,2000,3195,3405565,7,2000/01,1,2.8,10,34,60345,512,42209,512,398,2.28,0.3844,2702730,9.4922,9.8368,31.6,11.89180887,703.3,18409260,3365,3114281,NA,10,0.879253955,0.205545923,3,0.08809111,0.142090738,13,0
94,Connecticut,9,2000,2598,3405565,8,2000/02,2,10.2,2,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,0.234909626,1,0.029363703,0.117482508,14,0
95,Connecticut,9,2000,2483,3405565,1,2000/03,3,10.2,13,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0.029363703,0,0,0.146818516,15,0
96,Connecticut,9,2000,2317,3405565,7,2000/04,4,10.3,5,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,0.205545923,-1,-0.029363703,0.146818516,16,0
97,Connecticut,9,2000,2418,3405565,0,2000/05,5,10.3,11,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,0,4,0.117454813,0.137030615,17,0
98,Connecticut,9,2000,2211,3405565,7,2000/06,6,10.4,15,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,0.205545923,1,0.029363703,0.151712467,18,0
99,Connecticut,9,2000,2420,3405565,7,2000/07,7,10.4,10,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,0.205545923,6,0.176182219,0.117454813,19,0
100,Connecticut,9,2000,2284,3405565,6,2000/08,8,10.5,5,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,0.176182219,5,0.146818516,0.127242714,20,0
101,Connecticut,9,2000,2389,3405565,4,2000/09,9,10.5,4,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,0.117454813,6,0.176182219,0.097879011,21,0
102,Connecticut,9,2000,2484,3405565,0,2000/10,10,10.6,8,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,0.102461946,22,0
103,Connecticut,9,2000,2535,3405565,2,2000/11,11,10.7,7,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,0.058727406,1,0.029363703,0.102228685,23,0
104,Connecticut,9,2000,2795,3405565,1,2000/12,12,10.7,5,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,0.029363703,2,0.058727406,0.102073177,24,0
105,Connecticut,9,2001,2813,3432835,8,2001/01,1,2.6,8,20,59309,499.6,43696,499.6,387,NA,NA,2724037,9.8496,9.9362,32.4,12.1051842,NA,5783130,3385,NA,NA,1,NA,0.233043534,-7,-0.203913092,0.126348545,25,0
106,Connecticut,9,2001,2533,3432835,6,2001/02,2,8.8,9,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,0.17478265,3,0.087391325,0.150546159,26,0
107,Connecticut,9,2001,2686,3432835,4,2001/03,3,9,12,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,0.116521767,6,0.17478265,0.199058019,27,0
108,Connecticut,9,2001,2475,3432835,5,2001/04,4,9.2,18,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,0.145652209,0,0,0.194202945,28,0
109,Connecticut,9,2001,2521,3432835,7,2001/05,5,9.4,4,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,0.203913092,4,0.116521767,0.189347871,29,0
110,Connecticut,9,2001,2358,3432835,11,2001/06,6,9.5,11,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,0.320434859,5,0.145652209,0.179637724,30,0
111,Connecticut,9,2001,2328,3432835,7,2001/07,7,9.6,9,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0.203913092,-7,-0.203913092,0.155362356,31,0
112,Connecticut,9,2001,2330,3432835,5,2001/08,8,9.6,6,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0.145652209,-4,-0.116521767,0.165072503,32,0
113,Connecticut,9,2001,2500,3432835,0,2001/10,10,9.5,2,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,0,10,0.291304417,0.150325404,34,0
