,year,month,hom,time,Sign,Effective,stdpop,case
55,2003,7,84,55,0,0,17004100,1
56,2003,8,101,56,0,0,17004100,1
57,2003,9,82,57,0,0,17004100,1
58,2003,10,92,58,0,0,17004100,1
59,2003,11,73,59,0,0,17004100,1
60,2003,12,70,60,0,0,17004100,1
61,2004,1,81,61,0,0,17415300,1
62,2004,2,82,62,0,0,17415300,1
63,2004,3,75,63,0,0,17415300,1
64,2004,4,84,64,0,0,17415300,1
65,2004,5,84,65,0,0,17415300,1
66,2004,6,96,66,0,0,17415300,1
67,2004,7,111,67,0,0,17415300,1
68,2004,8,94,68,0,0,17415300,1
69,2004,9,87,69,0,0,17415300,1
70,2004,10,87,70,0,0,17415300,1
71,2004,11,78,71,0,0,17415300,1
72,2004,12,73,72,0,0,17415300,1
73,2005,1,81,73,0,0,17842000,1
74,2005,2,56,74,0,0,17842000,1
75,2005,3,80,75,0,0,17842000,1
76,2005,4,74,76,1,0,17842000,1
77,2005,5,81,77,1,0,17842000,1
78,2005,6,93,78,1,0,17842000,1
79,2005,7,103,79,1,0,17842000,1
80,2005,8,84,80,1,0,17842000,1
81,2005,9,70,81,1,0,17842000,1
82,2005,10,91,82,1,1,17842000,1
83,2005,11,93,83,1,1,17842000,1
84,2005,12,92,84,1,1,17842000,1
85,2006,1,101,85,1,1,18167000,1
86,2006,2,100,86,1,1,18167000,1
87,2006,3,74,87,1,1,18167000,1
88,2006,4,94,88,1,1,18167000,1
89,2006,5,117,89,1,1,18167000,1
90,2006,6,90,90,1,1,18167000,1
91,2006,7,108,91,1,1,18167000,1
92,2006,8,107,92,1,1,18167000,1
93,2006,9,96,93,1,1,18167000,1
94,2006,10,117,94,1,1,18167000,1
95,2006,11,93,95,1,1,18167000,1
96,2006,12,117,96,1,1,18167000,1
97,2007,1,125,97,1,1,18367800,1
98,2007,2,76,98,1,1,18367800,1
99,2007,3,111,99,1,1,18367800,1
100,2007,4,113,100,1,1,18367800,1
101,2007,5,116,101,1,1,18367800,1
102,2007,6,110,102,1,1,18367800,1
103,2007,7,144,103,1,1,18367800,1
104,2007,8,104,104,1,1,18367800,1
105,2007,9,108,105,1,1,18367800,1
106,2007,10,95,106,1,1,18367800,1
107,2007,11,110,107,1,1,18367800,1
108,2007,12,112,108,1,1,18367800,1
109,2008,1,95,109,1,1,18527300,1
110,2008,2,119,110,1,1,18527300,1
111,2008,3,101,111,1,1,18527300,1
112,2008,4,105,112,1,1,18527300,1
113,2008,5,127,113,1,1,18527300,1
114,2008,6,108,114,1,1,18527300,1
115,2008,7,119,115,1,1,18527300,1
116,2008,8,93,116,1,1,18527300,1
117,2008,9,109,117,1,1,18527300,1
118,2008,10,113,118,1,1,18527300,1
119,2008,11,96,119,1,1,18527300,1
120,2008,12,115,120,1,1,18527300,1
121,2009,1,91,121,1,1,18652600,1
122,2009,2,74,122,1,1,18652600,1
123,2009,3,107,123,1,1,18652600,1
124,2009,4,91,124,1,1,18652600,1
125,2009,5,87,125,1,1,18652600,1
126,2009,6,94,126,1,1,18652600,1
127,2009,7,102,127,1,1,18652600,1
128,2009,8,108,128,1,1,18652600,1
129,2009,9,97,129,1,1,18652600,1
130,2009,10,89,130,1,1,18652600,1
131,2009,11,112,131,1,1,18652600,1
132,2009,12,82,132,1,1,18652600,1
133,2010,1,90,133,1,1,18843300,1
134,2010,2,74,134,1,1,18843300,1
135,2010,3,85,135,1,1,18843300,1
136,2010,4,112,136,1,1,18843300,1
137,2010,5,104,137,1,1,18843300,1
138,2010,6,94,138,1,1,18843300,1
139,2010,7,83,139,1,1,18843300,1
140,2010,8,94,140,1,1,18843300,1
141,2010,9,105,141,1,1,18843300,1
142,2010,10,97,142,1,1,18843300,1
143,2010,11,92,143,1,1,18843300,1
144,2010,12,84,144,1,1,18843300,1
145,2011,1,117,145,1,1,19107900,1
146,2011,2,73,146,1,1,19107900,1
147,2011,3,86,147,1,1,19107900,1
148,2011,4,93,148,1,1,19107900,1
149,2011,5,111,149,1,1,19107900,1
150,2011,6,101,150,1,1,19107900,1
151,2011,7,96,151,1,1,19107900,1
152,2011,8,96,152,1,1,19107900,1
153,2011,9,102,153,1,1,19107900,1
154,2011,10,80,154,1,1,19107900,1
155,2011,11,90,155,1,1,19107900,1
156,2011,12,98,156,1,1,19107900,1
157,2012,1,102,157,1,1,19355300,1
158,2012,2,86,158,1,1,19355300,1
159,2012,3,112,159,1,1,19355300,1
160,2012,4,87,160,1,1,19355300,1
161,2012,5,96,161,1,1,19355300,1
162,2012,6,106,162,1,1,19355300,1
163,2012,7,113,163,1,1,19355300,1
164,2012,8,94,164,1,1,19355300,1
165,2012,9,100,165,1,1,19355300,1
166,2012,10,96,166,1,1,19355300,1
167,2012,11,94,167,1,1,19355300,1
168,2012,12,114,168,1,1,19355300,1
169,2013,1,98,169,1,1,19600300,1
170,2013,2,77,170,1,1,19600300,1
171,2013,3,84,171,1,1,19600300,1
172,2013,4,103,172,1,1,19600300,1
173,2013,5,71,173,1,1,19600300,1
174,2013,6,98,174,1,1,19600300,1
175,2013,7,114,175,1,1,19600300,1
176,2013,8,111,176,1,1,19600300,1
177,2013,9,76,177,1,1,19600300,1
178,2013,10,106,178,1,1,19600300,1
179,2013,11,108,179,1,1,19600300,1
180,2013,12,104,180,1,1,19600300,1
181,2014,1,95,181,1,1,19893300,1
182,2014,2,76,182,1,1,19893300,1
183,2014,3,114,183,1,1,19893300,1
184,2014,4,99,184,1,1,19893300,1
185,2014,5,104,185,1,1,19893300,1
186,2014,6,113,186,1,1,19893300,1
187,2014,7,84,187,1,1,19893300,1
188,2014,8,85,188,1,1,19893300,1
189,2014,9,84,189,1,1,19893300,1
190,2014,10,116,190,1,1,19893300,1
191,2014,11,93,191,1,1,19893300,1
192,2014,12,95,192,1,1,19893300,1
193,1999,1,56,1,0,0,8640910,0
194,1999,2,29,2,0,0,8640910,0
195,1999,3,28,3,0,0,8640910,0
196,1999,4,31,4,0,0,8640910,0
197,1999,5,38,5,0,0,8640910,0
198,1999,6,29,6,0,0,8640910,0
199,1999,7,42,7,0,0,8640910,0
200,1999,8,42,8,0,0,8640910,0
201,1999,9,48,9,0,0,8640910,0
202,1999,10,38,10,0,0,8640910,0
203,1999,11,46,11,0,0,8640910,0
204,1999,12,40,12,0,0,8640910,0
205,2000,1,47,13,0,0,8702051,0
206,2000,2,28,14,0,0,8702051,0
207,2000,3,40,15,0,0,8702051,0
208,2000,4,41,16,0,0,8702051,0
209,2000,5,30,17,0,0,8702051,0
210,2000,6,36,18,0,0,8702051,0
211,2000,7,40,19,0,0,8702051,0
212,2000,8,38,20,0,0,8702051,0
213,2000,9,30,21,0,0,8702051,0
214,2000,10,27,22,0,0,8702051,0
215,2000,11,22,23,0,0,8702051,0
216,2000,12,24,24,0,0,8702051,0
217,2001,1,45,25,0,0,8807526,0
218,2001,2,39,26,0,0,8807526,0
219,2001,3,22,27,0,0,8807526,0
220,2001,4,30,28,0,0,8807526,0
221,2001,5,37,29,0,0,8807526,0
222,2001,6,45,30,0,0,8807526,0
223,2001,7,28,31,0,0,8807526,0
224,2001,8,30,32,0,0,8807526,0
225,2001,9,40,33,0,0,8807526,0
226,2001,10,51,34,0,0,8807526,0
227,2001,11,45,35,0,0,8807526,0
228,2001,12,41,36,0,0,8899138,0
229,2002,1,28,37,0,0,8899138,0
230,2002,2,40,38,0,0,8899138,0
231,2002,3,29,39,0,0,8899138,0
232,2002,4,37,40,0,0,8899138,0
233,2002,5,32,41,0,0,8899138,0
234,2002,6,45,42,0,0,8899138,0
235,2002,7,33,43,0,0,8899138,0
236,2002,8,45,44,0,0,8899138,0
237,2002,9,44,45,0,0,8899138,0
238,2002,10,29,46,0,0,8899138,0
239,2002,11,35,47,0,0,8899138,0
240,2002,12,40,48,0,0,8980605,0
241,2003,1,25,49,0,0,8980605,0
242,2003,2,36,50,0,0,8980605,0
243,2003,3,43,51,0,0,8980605,0
244,2003,4,46,52,0,0,8980605,0
245,2003,5,31,53,0,0,8980605,0
246,2003,6,51,54,0,0,8980605,0
247,2003,7,34,55,0,0,8980605,0
248,2003,8,31,56,0,0,8980605,0
249,2003,9,38,57,0,0,8980605,0
250,2003,10,34,58,0,0,8980605,0
251,2003,11,37,59,0,0,8980605,0
252,2003,12,34,60,0,0,9043029,0
253,2004,1,26,61,0,0,9043029,0
254,2004,2,26,62,0,0,9043029,0
255,2004,3,32,63,0,0,9043029,0
256,2004,4,30,64,0,0,9043029,0
257,2004,5,36,65,0,0,9043029,0
258,2004,6,45,66,0,0,9043029,0
259,2004,7,47,67,0,0,9043029,0
260,2004,8,41,68,0,0,9043029,0
261,2004,9,46,69,0,0,9043029,0
262,2004,10,42,70,0,0,9043029,0
263,2004,11,35,71,0,0,9043029,0
264,2004,12,52,72,0,0,9099335,0
265,2005,1,37,73,0,0,9099335,0
266,2005,2,38,74,0,0,9099335,0
267,2005,3,40,75,0,0,9099335,0
268,2005,4,41,76,1,0,9099335,0
269,2005,5,51,77,1,0,9099335,0
270,2005,6,44,78,1,0,9099335,0
271,2005,7,39,79,1,0,9099335,0
272,2005,8,28,80,1,0,9099335,0
273,2005,9,25,81,1,0,8807526,0
274,2005,10,33,82,1,1,9099335,0
275,2005,11,39,83,1,1,9099335,0
276,2005,12,45,84,1,1,9099335,0
277,2006,1,50,85,1,1,9144827,0
278,2006,2,23,86,1,1,9144827,0
279,2006,3,21,87,1,1,9144827,0
280,2006,4,37,88,1,1,9144827,0
281,2006,5,50,89,1,1,9144827,0
282,2006,6,34,90,1,1,9144827,0
283,2006,7,51,91,1,1,9144827,0
284,2006,8,29,92,1,1,9144827,0
285,2006,9,59,93,1,1,9144827,0
286,2006,10,42,94,1,1,9144827,0
287,2006,11,43,95,1,1,9144827,0
288,2006,12,53,96,1,1,9144827,0
289,2007,1,37,97,1,1,9180678,0
290,2007,2,34,98,1,1,9180678,0
291,2007,3,46,99,1,1,9180678,0
292,2007,4,44,100,1,1,9180678,0
293,2007,5,47,101,1,1,9180678,0
294,2007,6,49,102,1,1,9180678,0
295,2007,7,41,103,1,1,9180678,0
296,2007,8,46,104,1,1,9180678,0
297,2007,9,33,105,1,1,9180678,0
298,2007,10,31,106,1,1,9180678,0
299,2007,11,31,107,1,1,9180678,0
300,2007,12,31,108,1,1,9180678,0
301,2008,1,23,109,1,1,9230544,0
302,2008,2,30,110,1,1,9230544,0
303,2008,3,32,111,1,1,9230544,0
304,2008,4,28,112,1,1,9230544,0
305,2008,5,43,113,1,1,9230544,0
306,2008,6,49,114,1,1,9230544,0
307,2008,7,35,115,1,1,9230544,0
308,2008,8,46,116,1,1,9230544,0
309,2008,9,35,117,1,1,9230544,0
310,2008,10,39,118,1,1,9230544,0
311,2008,11,48,119,1,1,9230544,0
312,2008,12,32,120,1,1,9230544,0
313,2009,1,36,121,1,1,9292195,0
314,2009,2,26,122,1,1,9292195,0
315,2009,3,23,123,1,1,9292195,0
316,2009,4,31,124,1,1,9292195,0
317,2009,5,34,125,1,1,9292195,0
318,2009,6,39,126,1,1,9292195,0
319,2009,7,33,127,1,1,9292195,0
320,2009,8,29,128,1,1,9292195,0
321,2009,9,32,129,1,1,9292195,0
322,2009,10,36,130,1,1,9292195,0
323,2009,11,43,131,1,1,9292195,0
324,2009,12,32,132,1,1,9292195,0
325,2010,1,21,133,1,1,9347649,0
326,2010,2,16,134,1,1,9347649,0
327,2010,3,37,135,1,1,9347649,0
328,2010,4,25,136,1,1,9347649,0
329,2010,5,35,137,1,1,9347649,0
330,2010,6,32,138,1,1,9347649,0
331,2010,7,40,139,1,1,9347649,0
332,2010,8,49,140,1,1,9347649,0
333,2010,9,34,141,1,1,9347649,0
334,2010,10,31,142,1,1,9347649,0
335,2010,11,24,143,1,1,9347649,0
336,2010,12,29,144,1,1,9347649,0
337,2011,1,36,145,1,1,9408998,0
338,2011,2,23,146,1,1,9408998,0
339,2011,3,28,147,1,1,9408998,0
340,2011,4,41,148,1,1,9408998,0
341,2011,5,29,149,1,1,9408998,0
342,2011,6,29,150,1,1,9408998,0
343,2011,7,36,151,1,1,9408998,0
344,2011,8,28,152,1,1,9408998,0
345,2011,9,23,153,1,1,9408998,0
346,2011,10,30,154,1,1,9408998,0
347,2011,11,27,155,1,1,9408998,0
348,2011,12,25,156,1,1,9408998,0
349,2012,1,24,157,1,1,9474910,0
350,2012,2,20,158,1,1,9474910,0
351,2012,3,31,159,1,1,9474910,0
352,2012,4,32,160,1,1,9474910,0
353,2012,5,31,161,1,1,9474910,0
354,2012,6,31,162,1,1,9474910,0
355,2012,7,42,163,1,1,9474910,0
356,2012,8,30,164,1,1,9474910,0
357,2012,9,42,165,1,1,9474910,0
358,2012,10,33,166,1,1,9474910,0
359,2012,11,30,167,1,1,9474910,0
360,2012,12,59,168,1,1,9474910,0
361,2013,1,31,169,1,1,9524894,0
362,2013,2,27,170,1,1,9524894,0
363,2013,3,28,171,1,1,9524894,0
364,2013,4,28,172,1,1,9524894,0
365,2013,5,25,173,1,1,9524894,0
366,2013,6,36,174,1,1,9524894,0
367,2013,7,33,175,1,1,9524894,0
368,2013,8,28,176,1,1,9524894,0
369,2013,9,33,177,1,1,9524894,0
370,2013,10,30,178,1,1,9524894,0
371,2013,11,39,179,1,1,9524894,0
372,2013,12,34,180,1,1,9524894,0
373,2014,1,35,181,1,1,9573084,0
374,2014,2,18,182,1,1,9573084,0
375,2014,3,20,183,1,1,9573084,0
376,2014,4,16,184,1,1,9573084,0
377,2014,5,24,185,1,1,9573084,0
378,2014,6,30,186,1,1,9573084,0
379,2014,7,26,187,1,1,9573084,0
380,2014,8,43,188,1,1,9573084,0
381,2014,9,24,189,1,1,9573084,0
382,2014,10,31,190,1,1,9573084,0
383,2014,11,17,191,1,1,9573084,0
384,2014,12,25,192,1,1,9573084,0
